n	allocate	freeUp	freeDown	freeScattered
254	1770.73	554.459	1713.88	710.673
255	1782.56	549.959	1721.87	721.367
256	1778.53	551.02	1698.96	709.643
257	1777.09	557.398	1719.9	710.235
258	1770.62	552.286	1722.94	709.98
259	1785.08	560.898	1749.62	714.449
260	1787.65	557.735	1708.57	711.357
261	1760.1	550.898	1734.55	714.724
262	1751.74	548.959	1721.94	708.531
263	1776.88	553.429	1702.41	720.367
264	1767.38	548.796	1735.64	709.765
265	1863.38	574.439	1720.99	710.857
266	1863.49	575.327	1760.03	707.449
267	1858.07	573.837	1730.93	712.082
268	1861.3	571.561	1794.62	723.602
269	1865.44	579.51	1719.44	719.143
270	1873.71	591.592	1780.51	708.398
271	1862.44	578.571	1723.6	706.245
272	1855.72	577.908	1685.7	713.204
273	1866.51	580.776	1744.94	705.071
274	1851.23	578.408	1737.41	714.01
275	1871.24	578.316	1756.39	715.276
276	1866.01	579.643	1722.86	713.827
277	1884.48	584.092	1748.72	706.847
278	1851.09	578.959	1746.31	709.367
279	1869.94	575.51	1721.7	711.541
280	1849.67	576.959	1696.55	711
281	1952.27	601.265	1956.29	777.214
282	1954.99	592.408	1898.64	766.929
283	1912.92	573	1944.28	772.347
284	1927.5	581.755	1927.32	769.337
285	1934.68	580.102	1905.03	762.153
286	1944.32	576.694	1926.79	777.724
287	1940.44	580.633	1924.86	770.52
288	1943.44	578.592	1985.22	759.48
289	1935.64	575.867	1917.06	775.184
290	1947.07	585.296	1989.71	767.367
291	1939.34	585.378	1914.64	768.459
292	1932.7	602.714	1895.19	768.582
293	1936.45	584.918	1985.06	768.602
294	1948.88	584.143	1968.22	777.031
295	1933.59	584.01	1969.67	776.194
296	1939.6	585.48	1927.55	775.398
297	2043.03	616.776	1927.9	776.286
298	2015.45	607.694	1938.57	780.908
299	2042.21	641.306	1942.6	782.908
300	2053.19	637.102	1935.9	773.939
301	2042.98	635.49	1947.72	771.092
302	2055.96	636.184	1944.18	765.592
303	2052.18	641.163	1908.03	774.071
304	2052.34	636.357	1943.93	766.878
