#n	n=4096	n=8192	n=16384	n=32768	n=65536	n=131072


2	4.326530612	12.93877551	14.78571429	77.70408163	188.122449	368.8571429
3	6.387755102	13.23469388	27.28571429	97.57142857	202.4183673	426.6632653
4	23.40816327	90.96938776	183.1020408	351.7857143	486.3673469	848.255102
5	58.76530612	159.4693878	283.1836735	464.3469388	766.0918367	1311.459184
6	79.74489796	189.7040816	380.0306122	714.6530612	1336.367347	2444.72449
7	91.44897959	209.0204082	418.0816327	814.5102041	1764.183673	3719.357143
8	100.1326531	219.9081633	439.3979592	865.5102041	1867.989796	4116.979592
9	107.3265306	230.2142857	483.4591837	933.6326531	1961.418367	4242.591837
10	117.4693878	244.0918367	486.122449	966.877551	2103.897959	4517.653061
11	141.8979592	296.8469388	556.9489796	987.3265306	2325.5	4793.489796
12	124.3265306	262.1836735	524.7040816	1017.377551	2238.602041	4768.602041
13	127.744898	269.9591837	536.5408163	1068.346939	2312.612245	4860.77551
14	132.8877551	277.3265306	547.8469388	1132.071429	2402.020408	5081.510204
15	136.5306122	281.8367347	557.5306122	1119.459184	2414.673469	5287.602041


2	9.040816327	26.94897959	107.3673469	34.7244898	365.1938776	187.9387755
3	10.8877551	23.71428571	107.377551	51.26530612	429.622449	213.8061224
4	13.17346939	22.62244898	149.1428571	54.84693878	505.6836735	249.4387755
5	12.59183673	24.14285714	141.3163265	62.34693878	577.9183673	286.3265306
6	14.40816327	28.76530612	161.755102	76.05102041	672.0612245	324.8163265
7	15.93877551	31.82653061	179.7959184	87.06122449	735.0102041	367.255102
8	16.94897959	34.76530612	200.2346939	97.7244898	825.2040816	404.1122449
9	17.97959184	37.94897959	228.1530612	114.0306122	938.2040816	447.2142857
10	18.91836735	44.19387755	245.8367347	120.0408163	1087.642857	495.4591837
11	21.42857143	55.31632653	271.7857143	145.5306122	1264.785714	599.3571429
12	20.74489796	56.7244898	297.4387755	147.7244898	1333	600.744898
13	20.97959184	63.08163265	327.0204082	155	1432.204082	636.377551
14	22.08163265	67.92857143	355.3367347	169.5510204	1563.928571	698.755102
15	24.32653061	75.65306122	366.877551	180.5204082	1674.72449	751.1836735


2	2.040816327	6.857142857	7.734693878	12.39795918	59.31632653	191.7346939
3	3.56122449	7.683673469	10.74489796	42.01020408	141.7653061	291.5306122
4	7.755102041	10.41836735	19.7244898	84.46938776	164.1326531	281.4081633
5	25.7244898	116.4897959	220.1734694	404.4387755	788.2959184	1339.316327
6	79.5	221.1326531	400.1428571	612.7755102	1142.020408	2113.05102
7	80.26530612	190.8163265	383.5816327	750.5918367	1626.969388	3335.826531
8	95.21428571	204.6326531	410.0204082	843.755102	1748.928571	3817.928571
9	105.1632653	218.8469388	432.5612245	860.2244898	1907.44898	4213.540816
10	151.5102041	313.5	459.0408163	916.3673469	1999.306122	4274.295918
11	118.6836735	247.4387755	484.4183673	954.6734694	2111.265306	4445.234694
12	119.5714286	252.2244898	504.1122449	982.5510204	2181.887755	4752.193878
13	166.5306122	272.0204082	588.9897959	1204.336735	2227.193878	4668.642857
14	129.6020408	270.6632653	536.8061224	1063.255102	2330.22449	4820.94898
15	176.5714286	362.5510204	719.0816327	1291.714286	2769.94898	5147.816327


2	7.959183673	26.43877551	34.94897959	114.4897959	188.7653061	396.6734694
3	9.775510204	21.32653061	36.29591837	118.8877551	212.6326531	420.7857143
4	11.34693878	18.75510204	47.12244898	117.7040816	240.0816327	492.1428571
5	10.67346939	20.16326531	57.84693878	140.5408163	320.622449	681.4795918
6	12.68367347	25.17346939	82.82653061	154.4489796	309.8265306	646.8673469
7	14.45918367	28.43877551	85.03061224	174.4387755	357.7755102	699.7244898
8	16.92857143	32.23469388	94.68367347	201.1020408	391.0714286	793.7244898
9	17.18367347	35.41836735	104.9591837	218.8571429	454.8469388	1085.387755
10	17.64285714	46.53061224	117.5408163	240.3979592	483.0510204	1032.857143
11	18.65306122	48.3877551	133.2959184	271.8673469	547.2244898	1202.571429
12	19.03061224	54.30612245	146.6734694	296.6530612	604.2755102	1371.693878
13	19.87755102	63.92857143	173.0714286	368.6530612	630.4489796	1418.05102
14	20.13265306	65.92857143	172.2653061	349.1428571	703.8163265	1550.27551
15	23.68367347	90.59183673	234.5306122	434.5306122	933.7653061	1692.193878


