n     ../ValueBased/Qsort_straight	../ValueBased/Qsort_2_6_6	../ValueBased/Qsort_2_6_11	../ValueBased/Insertion
460	379	168	190	1000
461	355	181	182	1000
462	370	170	197	1000
463	388	185	189	1000
464	371	180	192	944
465	363	180	217	1000
466	377	166	191	1000
467	362	175	188	1000
468	361	175	181	1000
469	369	179	192	1000
470	362	173	183	1000
471	402	173	191	1100
472	361	187	190	1100
473	399	189	197	1000
474	384	175	191	1100
475	394	178	185	1100
476	368	173	202	1100
477	368	185	203	1000
478	357	168	196	1100
479	380	181	204	1100
480	371	168	209	1100
481	382	172	194	1100
482	380	181	197	1200
483	374	188	195	1200
484	356	196	209	1100
485	357	179	197	1200
486	374	179	199	1200
487	361	182	205	1100
488	424	184	196	1200
489	397	187	208	1200
490	458	178	198	1100
491	420	193	208	1100
492	416	182	205	1100
493	399	176	198	1200
494	406	184	196	1200
495	392	186	209	1200
496	416	190	200	1200
497	373	196	200	1200
498	377	180	216	1200
499	418	194	195	1200
500	385	191	209	1200
501	434	192	205	1300
502	380	190	210	1200
503	409	185	200	1100
504	406	186	207	1200
505	396	184	205	1200
506	417	191	207	1300
507	402	188	198	1300
508	413	192	205	1200
509	385	189	206	1200
510	451	187	212	1300
511	417	196	211	1200
512	390	197	201	1200
